/mnt/e/BMI3/upload_github/new_test/BMI3_miniproject-main/data/arabidopsis/chr1.fa /mnt/e/BMI3/upload_github/new_test/BMI3_miniproject-main/data/arabidopsis/chr1.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
10708017	10708267	27434438	27434188	251	251	91.24	30427671	30427671	0.00	0.00	1	1
10756721	10756801	10207379	10207299	81	81	100.00	30427671	30427671	0.00	0.00	1	1
10775745	10776296	19963601	19963048	552	554	92.07	30427671	30427671	0.00	0.00	1	1
10802414	10803347	4111033	4110098	934	936	97.86	30427671	30427671	0.00	0.00	1	1
10840005	10840941	29343142	29342234	937	909	95.52	30427671	30427671	0.00	0.00	1	1
10895277	10896861	12658735	12657163	1585	1573	84.93	30427671	30427671	0.01	0.01	1	1
10914998	10915681	11818741	11818058	684	684	89.53	30427671	30427671	0.00	0.00	1	1
10914999	10915976	13152923	13151877	978	1047	87.21	30427671	30427671	0.00	0.00	1	1
10915197	10915789	21744841	21744195	593	647	81.87	30427671	30427671	0.00	0.00	1	1
10915681	10915973	11817950	11817658	293	293	93.52	30427671	30427671	0.00	0.00	1	1
10915732	10915973	21991387	21991146	242	242	89.75	30427671	30427671	0.00	0.00	1	1
10915781	10915971	21741782	21741593	191	190	94.76	30427671	30427671	0.00	0.00	1	1
10920944	10921263	16804170	16803853	320	318	86.60	30427671	30427671	0.00	0.00	1	1
10922412	10923823	8279057	8277593	1412	1465	86.85	30427671	30427671	0.00	0.00	1	1
10922417	10923353	25698519	25697603	937	917	84.00	30427671	30427671	0.00	0.00	1	1
10922722	10923819	25697597	25696511	1098	1087	86.55	30427671	30427671	0.00	0.00	1	1
10924014	10924440	11317858	11317431	427	428	83.76	30427671	30427671	0.00	0.00	1	1
10924689	10924945	28051684	28051436	257	249	93.77	30427671	30427671	0.00	0.00	1	1
10930990	10931470	4770598	4770117	481	482	90.71	30427671	30427671	0.00	0.00	1	1
10930990	10931470	5899688	5899208	481	481	95.63	30427671	30427671	0.00	0.00	1	1
10930990	10931470	11804027	11803546	481	482	86.57	30427671	30427671	0.00	0.00	1	1
10930991	10931470	23125625	23125133	480	493	92.93	30427671	30427671	0.00	0.00	1	1
10930994	10931470	26511163	26510672	477	492	92.07	30427671	30427671	0.00	0.00	1	1
10931330	10931470	14012954	14012814	141	141	92.96	30427671	30427671	0.00	0.00	1	1
10949909	10950392	19934231	19933796	484	436	83.95	30427671	30427671	0.00	0.00	1	1
10949909	10950117	21912256	21912034	209	223	87.56	30427671	30427671	0.00	0.00	1	1
10982284	10983489	10983489	10982284	1206	1206	87.05	30427671	30427671	0.00	0.00	1	1
10982873	10983489	15800294	15799674	617	621	88.59	30427671	30427671	0.00	0.00	1	1
10982873	10983489	15807082	15806465	617	618	87.58	30427671	30427671	0.00	0.00	1	1
10982873	10983489	15809256	15808637	617	620	86.96	30427671	30427671	0.00	0.00	1	1
11005834	11006285	12013007	12012554	452	454	91.87	30427671	30427671	0.00	0.00	1	1
11005835	11006291	9550780	9550322	457	459	94.78	30427671	30427671	0.00	0.00	1	1
11005835	11006290	18553622	18553165	456	458	93.03	30427671	30427671	0.00	0.00	1	1
11007049	11007490	11092791	11092366	442	426	82.70	30427671	30427671	0.00	0.00	1	1
11007580	11008142	11095014	11094458	563	557	84.78	30427671	30427671	0.00	0.00	1	1
11019467	11020001	18627359	18626812	535	548	90.53	30427671	30427671	0.00	0.00	1	1
11019468	11020014	15906595	15906036	547	560	85.26	30427671	30427671	0.00	0.00	1	1
11019469	11019685	29840863	29840640	217	224	86.61	30427671	30427671	0.00	0.00	1	1
11048697	11051106	11755077	11752768	2410	2310	86.66	30427671	30427671	0.01	0.01	1	1
11052111	11052340	5160011	5159782	230	230	86.09	30427671	30427671	0.00	0.00	1	1
11092366	11092791	11007490	11007049	426	442	82.70	30427671	30427671	0.00	0.00	1	1
11094458	11095014	11008142	11007580	557	563	84.78	30427671	30427671	0.00	0.00	1	1
11102330	11102530	23436003	23435804	201	200	97.01	30427671	30427671	0.00	0.00	1	1
11102894	11104012	23435806	23434674	1119	1133	94.12	30427671	30427671	0.00	0.00	1	1
11125700	11126171	22113280	22112793	472	488	85.40	30427671	30427671	0.00	0.00	1	1
11128987	11129296	11129296	11128987	310	310	85.90	30427671	30427671	0.00	0.00	1	1
11174211	11174808	14013409	14012812	598	598	90.35	30427671	30427671	0.00	0.00	1	1
11174397	11174808	16859036	16858632	412	405	92.29	30427671	30427671	0.00	0.00	1	1
11181073	11181241	19834361	19834195	169	167	95.27	30427671	30427671	0.00	0.00	1	1
11204443	11204606	27440789	27440620	164	170	85.38	30427671	30427671	0.00	0.00	1	1
11204449	11204605	22542296	22542140	157	157	85.35	30427671	30427671	0.00	0.00	1	1
11228621	11230036	3063647	3062235	1416	1413	97.32	30427671	30427671	0.00	0.00	1	1
11229636	11230162	21430242	21429725	527	518	86.87	30427671	30427671	0.00	0.00	1	1
11230309	11230538	3062231	3062009	230	223	93.04	30427671	30427671	0.00	0.00	1	1
11241616	11241766	16624771	16624621	151	151	98.01	30427671	30427671	0.00	0.00	1	1
11241616	11241766	17665262	17665112	151	151	98.68	30427671	30427671	0.00	0.00	1	1
11241764	11242148	16457612	16457219	385	394	91.37	30427671	30427671	0.00	0.00	1	1
11259077	11259737	18131062	18130397	661	666	90.13	30427671	30427671	0.00	0.00	1	1
11280567	11280669	28581973	28581872	103	102	92.23	30427671	30427671	0.00	0.00	1	1
11284148	11284315	12334416	12334249	168	168	97.02	30427671	30427671	0.00	0.00	1	1
11284183	11284315	11006290	11006160	133	131	94.74	30427671	30427671	0.00	0.00	1	1
11286707	11287260	19027736	19027211	554	526	85.59	30427671	30427671	0.00	0.00	1	1
11286883	11287330	27860625	27860179	448	447	87.72	30427671	30427671	0.00	0.00	1	1
11286958	11287677	24832348	24831624	720	725	91.05	30427671	30427671	0.00	0.00	1	1
11287330	11287669	27860038	27859696	340	343	92.71	30427671	30427671	0.00	0.00	1	1
11298493	11299359	7834148	7833299	867	850	86.06	30427671	30427671	0.00	0.00	1	1
11298501	11298920	8578063	8577644	420	420	89.15	30427671	30427671	0.00	0.00	1	1
11301252	11301710	12526955	12526500	459	456	92.59	30427671	30427671	0.00	0.00	1	1
11302262	11303050	12947011	12946241	789	771	90.55	30427671	30427671	0.00	0.00	1	1
11305467	11305959	15530075	15529583	493	493	82.56	30427671	30427671	0.00	0.00	1	1
11306606	11307218	15528926	15528314	613	613	82.28	30427671	30427671	0.00	0.00	1	1
11306941	11309351	12946247	12943847	2411	2401	95.61	30427671	30427671	0.01	0.01	1	1
11309228	11309673	12943850	12943361	446	490	80.31	30427671	30427671	0.00	0.00	1	1
11309764	11310308	12943343	12942846	545	498	84.55	30427671	30427671	0.00	0.00	1	1
11315964	11316611	27933302	27932679	648	624	87.18	30427671	30427671	0.00	0.00	1	1
11318482	11318783	11985345	11985056	302	290	89.74	30427671	30427671	0.00	0.00	1	1
11319018	11319482	11984953	11984489	465	465	91.40	30427671	30427671	0.00	0.00	1	1
11351514	11352407	21261031	21260142	894	890	97.65	30427671	30427671	0.00	0.00	1	1
11351550	11352377	13408256	13407453	828	804	89.07	30427671	30427671	0.00	0.00	1	1
11351551	11352093	13408802	13408253	543	550	90.79	30427671	30427671	0.00	0.00	1	1
11407758	11408506	7284083	7283335	749	749	96.27	30427671	30427671	0.00	0.00	1	1
11407758	11408506	11708833	11708085	749	749	95.87	30427671	30427671	0.00	0.00	1	1
11407761	11408337	20974299	20973725	577	575	96.02	30427671	30427671	0.00	0.00	1	1
11407790	11408430	760505	759863	641	643	96.73	30427671	30427671	0.00	0.00	1	1
11408157	11410300	7283852	7281722	2144	2131	95.60	30427671	30427671	0.01	0.01	1	1
11408157	11410299	11708602	11706451	2143	2152	96.75	30427671	30427671	0.01	0.01	1	1
11408326	11410300	20974071	20972073	1975	1999	95.56	30427671	30427671	0.01	0.01	1	1
11408328	11410301	16989716	16987733	1974	1984	89.89	30427671	30427671	0.01	0.01	1	1
11408606	11409152	759863	759316	547	548	97.45	30427671	30427671	0.00	0.00	1	1
11409280	11410303	759616	758587	1024	1030	91.21	30427671	30427671	0.00	0.00	1	1
11422194	11422454	5899190	5898930	261	261	93.49	30427671	30427671	0.00	0.00	1	1
11427786	11428384	7985727	7985124	599	604	91.90	30427671	30427671	0.00	0.00	1	1
11427786	11428379	10526775	10526179	594	597	90.00	30427671	30427671	0.00	0.00	1	1
11454163	11454494	8779453	8779126	332	328	90.09	30427671	30427671	0.00	0.00	1	1
11454163	11454494	8801981	8801654	332	328	90.09	30427671	30427671	0.00	0.00	1	1
11454163	11454494	8816359	8816032	332	328	90.09	30427671	30427671	0.00	0.00	1	1
11454163	11454494	8830737	8830410	332	328	90.09	30427671	30427671	0.00	0.00	1	1
11454164	11454358	17622152	17621957	195	196	89.29	30427671	30427671	0.00	0.00	1	1
11454636	11455083	8778581	8778137	448	445	81.82	30427671	30427671	0.00	0.00	1	1
11454636	11455083	8801109	8800665	448	445	80.49	30427671	30427671	0.00	0.00	1	1
11454636	11455083	8815487	8815043	448	445	80.49	30427671	30427671	0.00	0.00	1	1
11454636	11455083	8829865	8829421	448	445	80.49	30427671	30427671	0.00	0.00	1	1
11454845	11455083	17621161	17620926	239	236	86.72	30427671	30427671	0.00	0.00	1	1
11454928	11455083	21124915	21124760	156	156	92.95	30427671	30427671	0.00	0.00	1	1
11456472	11456883	10598722	10598311	412	412	97.33	30427671	30427671	0.00	0.00	1	1
11521924	11522341	24027935	24027518	418	418	90.80	30427671	30427671	0.00	0.00	1	1
11645179	11645344	17234899	17234734	166	166	95.78	30427671	30427671	0.00	0.00	1	1
11669357	11669841	10580141	10579660	485	482	94.43	30427671	30427671	0.00	0.00	1	1
11669373	11669613	3762974	3762734	241	241	96.68	30427671	30427671	0.00	0.00	1	1
11699697	11700603	30253108	30252200	907	909	97.36	30427671	30427671	0.00	0.00	1	1
11699698	11701466	11737393	11735587	1769	1807	93.17	30427671	30427671	0.01	0.01	1	1
11699698	11700603	12330053	12329147	906	907	97.02	30427671	30427671	0.00	0.00	1	1
11699698	11701727	19995734	19993681	2030	2054	94.33	30427671	30427671	0.01	0.01	1	1
11699698	11700604	22994060	22993153	907	908	96.37	30427671	30427671	0.00	0.00	1	1
11700598	11701347	12876770	12876014	750	757	94.21	30427671	30427671	0.00	0.00	1	1
11700598	11701728	13016965	13015850	1131	1116	93.74	30427671	30427671	0.00	0.00	1	1
11700598	11700901	19328309	19328000	304	310	93.27	30427671	30427671	0.00	0.00	1	1
11700733	11701727	12563207	12562229	995	979	93.39	30427671	30427671	0.00	0.00	1	1
11700940	11701226	12328360	12328075	287	286	94.08	30427671	30427671	0.00	0.00	1	1
11700940	11701230	22621025	22620735	291	291	94.18	30427671	30427671	0.00	0.00	1	1
11704162	11704472	14330106	14329806	311	301	87.46	30427671	30427671	0.00	0.00	1	1
11706445	11708832	16593139	16590753	2388	2387	96.57	30427671	30427671	0.01	0.01	1	1
11706445	11708054	16968242	16966676	1610	1567	93.50	30427671	30427671	0.01	0.01	1	1
11706451	11708602	11410299	11408157	2152	2143	96.75	30427671	30427671	0.01	0.01	1	1
11706451	11707325	26781146	26780268	875	879	95.92	30427671	30427671	0.00	0.00	1	1
11707699	11708054	26780214	26779857	356	358	94.69	30427671	30427671	0.00	0.00	1	1
11708085	11708833	11408506	11407758	749	749	95.87	30427671	30427671	0.00	0.00	1	1
11710601	11711891	23711402	23710114	1291	1289	95.82	30427671	30427671	0.00	0.00	1	1
11721294	11722438	16160538	16159400	1145	1139	90.76	30427671	30427671	0.00	0.00	1	1
11732355	11732905	13495986	13495422	551	565	86.60	30427671	30427671	0.00	0.00	1	1
11732355	11732905	21739638	21739076	551	563	85.13	30427671	30427671	0.00	0.00	1	1
11734051	11734395	13494118	13493785	345	334	85.88	30427671	30427671	0.00	0.00	1	1
11734051	11734392	15221772	15221430	342	343	83.05	30427671	30427671	0.00	0.00	1	1
11734051	11734392	15317927	15317585	342	343	83.05	30427671	30427671	0.00	0.00	1	1
11735587	11736332	4786992	4786259	746	734	92.54	30427671	30427671	0.00	0.00	1	1
11735587	11737393	11701466	11699698	1807	1769	93.17	30427671	30427671	0.01	0.01	1	1
11735587	11736721	15940915	15939781	1135	1135	92.47	30427671	30427671	0.00	0.00	1	1
11735587	11737397	16905600	16903796	1811	1805	91.39	30427671	30427671	0.01	0.01	1	1
11735587	11736878	18792600	18791323	1292	1278	91.29	30427671	30427671	0.00	0.00	1	1
11735587	11736134	19064328	19063794	548	535	91.47	30427671	30427671	0.00	0.00	1	1
11736302	11737128	19063764	19062922	827	843	93.72	30427671	30427671	0.00	0.00	1	1
11736487	11737393	19062870	19061965	907	906	95.05	30427671	30427671	0.00	0.00	1	1
11752284	11752652	6158863	6158496	369	368	91.33	30427671	30427671	0.00	0.00	1	1
11752284	11752652	11051462	11051095	369	368	90.24	30427671	30427671	0.00	0.00	1	1
11752321	11752652	20685658	20685330	332	329	90.96	30427671	30427671	0.00	0.00	1	1
11752780	11754032	6158494	6157263	1253	1232	89.84	30427671	30427671	0.00	0.00	1	1
11752780	11755077	11051093	11048697	2298	2397	86.83	30427671	30427671	0.01	0.01	1	1
11752783	11754032	20685325	20684092	1250	1234	90.75	30427671	30427671	0.00	0.00	1	1
11754364	11755078	6157136	6156400	715	737	89.05	30427671	30427671	0.00	0.00	1	1
11754364	11755078	20683965	20683231	715	735	88.47	30427671	30427671	0.00	0.00	1	1
11754895	11755076	19388377	19388197	182	181	87.36	30427671	30427671	0.00	0.00	1	1
11776211	11776653	13015083	13014647	443	437	94.58	30427671	30427671	0.00	0.00	1	1
11776702	11777163	13008735	13008316	462	420	84.80	30427671	30427671	0.00	0.00	1	1
11777492	11778095	13000085	12999514	604	572	89.62	30427671	30427671	0.00	0.00	1	1
11778080	11778688	12999701	12999073	609	629	89.01	30427671	30427671	0.00	0.00	1	1
11779144	11780281	12999054	12997924	1138	1131	90.25	30427671	30427671	0.00	0.00	1	1
11780647	11780827	12997919	12997740	181	180	96.69	30427671	30427671	0.00	0.00	1	1
11780843	11780996	12997321	12997167	154	155	96.13	30427671	30427671	0.00	0.00	1	1
11781602	11782032	12995979	12995549	431	431	86.20	30427671	30427671	0.00	0.00	1	1
11781816	11782361	12991625	12991080	546	546	86.31	30427671	30427671	0.00	0.00	1	1
11782029	11782219	12994585	12994395	191	191	85.43	30427671	30427671	0.00	0.00	1	1
11782512	11783038	10222372	10221838	527	535	88.66	30427671	30427671	0.00	0.00	1	1
11803544	11804072	25780237	25779693	529	545	89.40	30427671	30427671	0.00	0.00	1	1
11805859	11806161	18126920	18126616	303	305	92.13	30427671	30427671	0.00	0.00	1	1
11807619	11808272	6426562	6425908	654	655	94.66	30427671	30427671	0.00	0.00	1	1
11817658	11818741	10915973	10914998	1084	976	81.12	30427671	30427671	0.00	0.00	1	1
11817658	11818016	17268171	17267812	359	360	91.67	30427671	30427671	0.00	0.00	1	1
11817746	11818545	6744162	6743360	800	803	83.84	30427671	30427671	0.00	0.00	1	1
11979767	11980287	15889302	15888791	521	512	87.76	30427671	30427671	0.00	0.00	1	1
11980306	11980890	16161456	16160848	585	609	90.05	30427671	30427671	0.00	0.00	1	1
11980910	11982083	16160580	16159401	1174	1180	95.85	30427671	30427671	0.00	0.00	1	1
11983079	11983281	9236579	9236380	203	200	92.12	30427671	30427671	0.00	0.00	1	1
11984489	11984953	11319482	11319018	465	465	91.40	30427671	30427671	0.00	0.00	1	1
11985056	11985345	11318783	11318482	290	302	89.74	30427671	30427671	0.00	0.00	1	1
11985081	11985345	11322919	11322645	265	275	86.33	30427671	30427671	0.00	0.00	1	1
12016359	12016968	16611193	16610582	610	612	90.37	30427671	30427671	0.00	0.00	1	1
12016464	12016968	12630046	12629547	505	500	89.19	30427671	30427671	0.00	0.00	1	1
12016604	12016942	15871371	15871033	339	339	87.35	30427671	30427671	0.00	0.00	1	1
12017075	12017222	16610582	16610438	148	145	95.27	30427671	30427671	0.00	0.00	1	1
12017324	12018676	12629170	12627854	1353	1317	88.01	30427671	30427671	0.00	0.00	1	1
12017324	12020184	16610213	16607489	2861	2725	86.09	30427671	30427671	0.01	0.01	1	1
12017329	12018247	15870453	15869535	919	919	91.89	30427671	30427671	0.00	0.00	1	1
12062277	12062565	12063310	12063023	289	288	87.20	30427671	30427671	0.00	0.00	1	1
12062609	12063328	12527245	12526510	720	736	83.81	30427671	30427671	0.00	0.00	1	1
12063023	12063310	12062565	12062277	288	289	87.20	30427671	30427671	0.00	0.00	1	1
12076719	12077068	12987873	12987518	350	356	94.12	30427671	30427671	0.00	0.00	1	1
12080337	12080591	17490603	17490351	255	253	83.85	30427671	30427671	0.00	0.00	1	1
12097452	12098025	23125697	23125123	574	575	93.75	30427671	30427671	0.00	0.00	1	1
12097456	12098017	5899755	5899206	562	550	92.20	30427671	30427671	0.00	0.00	1	1
12097456	12098017	26511226	26510670	562	557	92.92	30427671	30427671	0.00	0.00	1	1
12097462	12097989	2986886	2986379	528	508	87.38	30427671	30427671	0.00	0.00	1	1
12131181	12131741	12702763	12702216	561	548	87.19	30427671	30427671	0.00	0.00	1	1
12138862	12139191	18387485	18387152	330	334	94.31	30427671	30427671	0.00	0.00	1	1
12142477	12143208	18387150	18386417	732	734	96.88	30427671	30427671	0.00	0.00	1	1
12142883	12143208	12139193	12138868	326	326	93.88	30427671	30427671	0.00	0.00	1	1
12155190	12155306	14465238	14465121	117	118	89.83	30427671	30427671	0.00	0.00	1	1
12172517	12173276	10604986	10604217	760	770	92.21	30427671	30427671	0.00	0.00	1	1
12183402	12183939	12458257	12457718	538	540	89.30	30427671	30427671	0.00	0.00	1	1
12183405	12183991	17606135	17605550	587	586	93.19	30427671	30427671	0.00	0.00	1	1
12183405	12183971	19718494	19717926	567	569	92.81	30427671	30427671	0.00	0.00	1	1
12183654	12184001	24027520	24027173	348	348	92.53	30427671	30427671	0.00	0.00	1	1
12185454	12185781	15948939	15948615	328	325	88.18	30427671	30427671	0.00	0.00	1	1
12185456	12185927	15657420	15656944	472	477	85.89	30427671	30427671	0.00	0.00	1	1
12185458	12185930	15721658	15721194	473	465	84.94	30427671	30427671	0.00	0.00	1	1
12220955	12222196	12228482	12227242	1242	1241	91.09	30427671	30427671	0.00	0.00	1	1
12223558	12224063	12227193	12226686	506	508	89.82	30427671	30427671	0.00	0.00	1	1
12226686	12227193	12224063	12223558	508	506	89.84	30427671	30427671	0.00	0.00	1	1
12227242	12228482	12222196	12220955	1241	1242	91.09	30427671	30427671	0.00	0.00	1	1
12240503	12240910	13313925	13313517	408	409	93.64	30427671	30427671	0.00	0.00	1	1
12240503	12240735	26511228	26511003	233	226	91.45	30427671	30427671	0.00	0.00	1	1
12240505	12240735	5899755	5899525	231	231	94.81	30427671	30427671	0.00	0.00	1	1
12240763	12240911	5899353	5899205	149	149	94.67	30427671	30427671	0.00	0.00	1	1
12273063	12273272	12275012	12274803	210	210	100.00	30427671	30427671	0.00	0.00	1	1
12274706	12274967	12276648	12276387	262	262	99.24	30427671	30427671	0.00	0.00	1	1
12274803	12275012	12273272	12273063	210	210	100.00	30427671	30427671	0.00	0.00	1	1
12276387	12276648	12274967	12274706	262	262	99.24	30427671	30427671	0.00	0.00	1	1
12282828	12283119	16938310	16938015	292	296	87.63	30427671	30427671	0.00	0.00	1	1
12294078	12294786	12377511	12376819	709	693	85.97	30427671	30427671	0.00	0.00	1	1
12300192	12300784	24508437	24507848	593	590	88.22	30427671	30427671	0.00	0.00	1	1
12300193	12300779	24897747	24897155	587	593	90.74	30427671	30427671	0.00	0.00	1	1
12300797	12301050	24897303	24897039	254	265	88.68	30427671	30427671	0.00	0.00	1	1
12305684	12305815	12327927	12327796	132	132	93.94	30427671	30427671	0.00	0.00	1	1
12327796	12327927	12305815	12305684	132	132	93.94	30427671	30427671	0.00	0.00	1	1
12328719	12330054	9817550	9816209	1336	1342	95.83	30427671	30427671	0.00	0.00	1	1
12329231	12330056	12364973	12364132	826	842	95.02	30427671	30427671	0.00	0.00	1	1
12329231	12330054	23214504	23213665	824	840	94.56	30427671	30427671	0.00	0.00	1	1
12333645	12336048	9551060	9548668	2404	2393	97.67	30427671	30427671	0.01	0.01	1	1
12333923	12334416	18553624	18553130	494	495	94.75	30427671	30427671	0.00	0.00	1	1
12333926	12334416	12013006	12012514	491	493	93.31	30427671	30427671	0.00	0.00	1	1
12334249	12334416	11284315	11284148	168	168	97.02	30427671	30427671	0.00	0.00	1	1
12336048	12336727	9548560	9547879	680	682	96.64	30427671	30427671	0.00	0.00	1	1
12336727	12337808	8239802	8238685	1082	1118	85.99	30427671	30427671	0.00	0.00	1	1
12336728	12337829	15635984	15634888	1102	1097	87.95	30427671	30427671	0.00	0.00	1	1
12337089	12337829	20489719	20488972	741	748	87.01	30427671	30427671	0.00	0.00	1	1
12337844	12338482	9547887	9547246	639	642	95.97	30427671	30427671	0.00	0.00	1	1
12364131	12364603	22622309	22621838	473	472	95.99	30427671	30427671	0.00	0.00	1	1
12364132	12364973	12330056	12329231	842	826	95.02	30427671	30427671	0.00	0.00	1	1
12364133	12364973	26171482	26170639	841	844	96.56	30427671	30427671	0.00	0.00	1	1
12364135	12364376	3910601	3910362	242	240	97.11	30427671	30427671	0.00	0.00	1	1
12364135	12365994	12564081	12562227	1860	1855	96.56	30427671	30427671	0.01	0.01	1	1
12364135	12365993	19466949	19465089	1859	1861	97.11	30427671	30427671	0.01	0.01	1	1
12364139	12364971	19329256	19328431	833	826	95.20	30427671	30427671	0.00	0.00	1	1
12365009	12365992	26170376	26169395	984	982	92.69	30427671	30427671	0.00	0.00	1	1
12365009	12365772	30254422	30253651	764	772	94.22	30427671	30427671	0.00	0.00	1	1
12365012	12365608	12876624	12876028	597	597	94.16	30427671	30427671	0.00	0.00	1	1
12365012	12365608	16998237	16997643	597	595	95.15	30427671	30427671	0.00	0.00	1	1
12374425	12376142	12398307	12396610	1718	1698	84.37	30427671	30427671	0.01	0.01	1	1
12376819	12377511	12294786	12294078	693	709	85.97	30427671	30427671	0.00	0.00	1	1
12381283	12381567	12601709	12601439	285	271	84.03	30427671	30427671	0.00	0.00	1	1
12381334	12381567	12601908	12601677	234	232	90.21	30427671	30427671	0.00	0.00	1	1
12382011	12385177	12601248	12598007	3167	3242	85.78	30427671	30427671	0.01	0.01	1	1
12385361	12385794	12596522	12596080	434	443	96.39	30427671	30427671	0.00	0.00	1	1
12387145	12387329	12603102	12602920	185	183	91.89	30427671	30427671	0.00	0.00	1	1
12396610	12398307	12376142	12374425	1698	1718	84.37	30427671	30427671	0.01	0.01	1	1
12411952	12412115	12841917	12841753	164	165	90.91	30427671	30427671	0.00	0.00	1	1
12413769	12415418	16640614	16638965	1650	1650	78.27	30427671	30427671	0.01	0.01	1	1
12426009	12426615	22376758	22376137	607	622	90.56	30427671	30427671	0.00	0.00	1	1
12426347	12426614	11277327	11277055	268	273	89.09	30427671	30427671	0.00	0.00	1	1
12457718	12458265	19742086	19741528	548	559	87.26	30427671	30427671	0.00	0.00	1	1
12483092	12483575	16316910	16316426	484	485	97.12	30427671	30427671	0.00	0.00	1	1
12500405	12500919	21105792	21105255	515	538	86.83	30427671	30427671	0.00	0.00	1	1
12500409	12500594	17377697	17377509	186	189	88.36	30427671	30427671	0.00	0.00	1	1
12507689	12511272	12559931	12556355	3584	3577	91.42	30427671	30427671	0.01	0.01	1	1
12507772	12511272	12581574	12578052	3501	3523	92.07	30427671	30427671	0.01	0.01	1	1
12507811	12511271	13112413	13108973	3461	3441	90.53	30427671	30427671	0.01	0.01	1	1
12511200	12511857	12556329	12555699	658	631	89.12	30427671	30427671	0.00	0.00	1	1
12511200	12512554	13108952	13107602	1355	1351	88.04	30427671	30427671	0.00	0.00	1	1
12511202	12511925	12578039	12577323	724	717	91.17	30427671	30427671	0.00	0.00	1	1
12513939	12514426	17092406	17091900	488	507	82.31	30427671	30427671	0.00	0.00	1	1
12514537	12515034	12167131	12166635	498	497	87.20	30427671	30427671	0.00	0.00	1	1
12514537	12515540	13299136	13298087	1004	1050	84.12	30427671	30427671	0.00	0.00	1	1
12514537	12516360	15816321	15814442	1824	1880	88.83	30427671	30427671	0.01	0.01	1	1
12526500	12526955	11301710	11301252	456	459	92.59	30427671	30427671	0.00	0.00	1	1
12526509	12526813	12527584	12527288	305	297	89.18	30427671	30427671	0.00	0.00	1	1
12526510	12527245	12063328	12062609	736	720	83.81	30427671	30427671	0.00	0.00	1	1
12526533	12527045	20333645	20333128	513	518	87.67	30427671	30427671	0.00	0.00	1	1
12527288	12527584	12526813	12526509	297	305	89.18	30427671	30427671	0.00	0.00	1	1
12527966	12529204	12617079	12615857	1239	1223	82.18	30427671	30427671	0.00	0.00	1	1
12555695	12559365	12930864	12927190	3671	3675	91.65	30427671	30427671	0.01	0.01	1	1
12555695	12559763	13086170	13082112	4069	4059	90.55	30427671	30427671	0.01	0.01	1	1
12555695	12558080	16674292	16671891	2386	2402	88.32	30427671	30427671	0.01	0.01	1	1
12555699	12556329	12511857	12511200	631	658	89.12	30427671	30427671	0.00	0.00	1	1
12556454	12559931	12511178	12507689	3478	3490	91.80	30427671	30427671	0.01	0.01	1	1
12558895	12559913	16671878	16670862	1019	1017	88.82	30427671	30427671	0.00	0.00	1	1
12559763	12560308	13081903	13081393	546	511	88.10	30427671	30427671	0.00	0.00	1	1
12562225	12564081	23215523	23213666	1857	1858	96.25	30427671	30427671	0.01	0.01	1	1
12562227	12564081	12365994	12364135	1855	1860	96.56	30427671	30427671	0.01	0.01	1	1
12562228	12563207	22452006	22451016	980	991	92.98	30427671	30427671	0.00	0.00	1	1
12562229	12563207	11701727	11700733	979	995	93.39	30427671	30427671	0.00	0.00	1	1
12562229	12563207	13060896	13059907	979	990	93.38	30427671	30427671	0.00	0.00	1	1
12562229	12563207	15941178	15940188	979	991	93.77	30427671	30427671	0.00	0.00	1	1
12562229	12564081	16327303	16325444	1853	1860	95.98	30427671	30427671	0.01	0.01	1	1
12562229	12564088	16826370	16824510	1860	1861	96.36	30427671	30427671	0.01	0.01	1	1
12562229	12563207	16905864	16904870	979	995	92.79	30427671	30427671	0.00	0.00	1	1
12563241	12564081	7036032	7035191	841	842	94.43	30427671	30427671	0.00	0.00	1	1
12563243	12564085	19062788	19061960	843	829	92.67	30427671	30427671	0.00	0.00	1	1
12563243	12563818	19063482	19062922	576	561	92.39	30427671	30427671	0.00	0.00	1	1
12563826	12564054	17487	17255	229	233	88.03	30427671	30427671	0.00	0.00	1	1
12563836	12564075	17256	17015	240	242	90.12	30427671	30427671	0.00	0.00	1	1
12564083	12565228	16670437	16669287	1146	1151	85.06	30427671	30427671	0.00	0.00	1	1
12566243	12568178	20477834	20475912	1936	1923	94.59	30427671	30427671	0.01	0.01	1	1
12572712	12572948	12906802	12906565	237	238	90.34	30427671	30427671	0.00	0.00	1	1
12576518	12581088	12931751	12927193	4571	4559	94.54	30427671	30427671	0.02	0.01	1	1
12576883	12581511	13086671	13082095	4629	4577	94.46	30427671	30427671	0.02	0.02	1	1
12576986	12581574	12512348	12507772	4589	4577	89.05	30427671	30427671	0.02	0.02	1	1
12577323	12579816	16674347	16671880	2494	2468	90.33	30427671	30427671	0.01	0.01	1	1
12581574	12581900	13081402	13081052	327	351	86.89	30427671	30427671	0.00	0.00	1	1
12581748	12581900	16670285	16670133	153	153	91.50	30427671	30427671	0.00	0.00	1	1
12582947	12584219	16670140	16668908	1273	1233	83.37	30427671	30427671	0.00	0.00	1	1
12592610	12593262	12734553	12733901	653	653	93.76	30427671	30427671	0.00	0.00	1	1
12593081	12593385	12733683	12733377	305	307	92.51	30427671	30427671	0.00	0.00	1	1
